Наименование;Артикул;Замена;АЗамена
Выключатель автоматический ВА57-35-345615-25А-320-690AC-РМН230AC-УХЛ3-КЭАЗ;109182;;
Выключатель автоматический ВА57-35-345615-31,5А-320-690AC-РМН230AC-УХЛ3-КЭАЗ;109183;;
Выключатель автоматический ВА57-35-345615-50А-630-690AC-РМН230AC-УХЛ3-КЭАЗ;109184;;
Выключатель автоматический ВА57-35-345615-63А-800-690AC-РМН230AC-УХЛ3-КЭАЗ;109185;;
Выключатель автоматический ВА57-35-346215-160А-1600-690AC-НР400AC-УХЛ3-КЭАЗ;109186;;
Выключатель автоматический ВА57-35-621810-25А-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;109188;;
Выключатель автоматический ВА57-35-631110-250А-1000-440DC-УХЛ3-КЭАЗ;109189;;
Выключатель автоматический ВА57-35-631810-250А-2500-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;109191;;
Выключатель автоматический ВА57-35-634710-80А-1000-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;109192;;
Выключатель автоматический ВА57-35-634710-250А-2500-440DC-НР230AC/220DC-УХЛ3-КЭАЗ;109193;;
Выключатель автоматический ВА57-35-640010-80А-1000-440DC-УХЛ3-КЭАЗ;109197;;
Выключатель автоматический ВА57-35-641110-160А-2000-440DC-УХЛ3-КЭАЗ;109208;;
Выключатель автоматический ВА57-35-642510-160А-1000-440DC-РНН230AC/220DC-УХЛ3-КЭАЗ;109209;;
Выключатель автоматический ВА57-35-644610-100А-1250-440DC-УХЛ3-КЭАЗ;109211;;
Выключатель автоматический ВА57-35-824710-125А-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;109212;;
Выключатель автоматический ВА57-35-824710-250А-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;109213;;
Выключатель автоматический ВА57-35-824710-80А-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;109214;;
Выключатель автоматический ВА57-35-824750-160А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;109215;;
Выключатель автоматический ВА57-35-824750-250А-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;109216;;
Выключатель автоматический ВА57-35-830010-250А-1250-220DC-УХЛ3-КЭАЗ;109218;;
Выключатель автоматический ВА57-35-834710-250А-2500-220DC-НР24DC-УХЛ3-КЭАЗ;109221;;
Выключатель автоматический ВА57-35-840010-31,5А-125-690AC-УХЛ3-КЭАЗ;109222;;
Выключатель автоматический ВА57-35-840010-63А-1250-220DC-УХЛ3-КЭАЗ;109224;;
Выключатель автоматический ВА57-35-840010-80А-1250-220DC-УХЛ3-КЭАЗ;109225;;
Выключатель автоматический ВА57-35-840010-200А-2500-220DC-УХЛ3-КЭАЗ;109229;;
Выключатель автоматический ВА57-35-840010-50А-630-220DC-УХЛ3-КЭАЗ;109234;;
Выключатель автоматический ВА57-35-841110-63А-1250-220DC-УХЛ3-КЭАЗ;109240;;
Выключатель автоматический ВА57-35-841110-80А-1250-220DC-УХЛ3-КЭАЗ;109241;;
Выключатель автоматический ВА57-35-841110-20А-320-220DC-УХЛ3-КЭАЗ;109245;;
Выключатель автоматический ВА57-35-841110-40А-630-220DC-УХЛ3-КЭАЗ;109246;;
Выключатель автоматический ВА57-35-841810-100А-1000-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;109249;;
Выключатель автоматический ВА57-35-844610-200А-1250-690AC-УХЛ3-КЭАЗ;109252;;
Выключатель автоматический ВА57-35-844610-250А-1600-690AC-УХЛ3-КЭАЗ;109254;;
Выключатель автоматический ВА57-35-844610-100А-1250-220DC-УХЛ3-КЭАЗ;109255;;
Выключатель автоматический ВА57-35-844610-160А-800-690AC-УХЛ3-КЭАЗ;109257;;
Выключатель автоматический ВА57-35-844610-63А-800-690AC-УХЛ3-КЭАЗ;109258;;
Выключатель автоматический ВА57-35-844610-80А-800-690AC-УХЛ3-КЭАЗ;109259;;
Выключатель автоматический ВА57-35-844650-100А-1000-220DC-УХЛ3-КЭАЗ;109260;;
Выключатель автоматический ВА57-35-844650-63А-800-220DC-УХЛ3-КЭАЗ;109261;;
Выключатель автоматический ВА57-35-844710-100А-1000-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;109262;;
Выключатель автоматический ВА57-35-844710-160А-1000-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;109264;;
Выключатель автоматический ВА57-35-844750-160А-1000-220DC-НР230AC/220DC-УХЛ3-КЭАЗ;109265;;
Выключатель автоматический ВА57Ф35-340010-160А-1000-400AC-УХЛ3-КЭАЗ;109287;;
Выключатель автоматический ВА57Ф35-340010-200А-1000-400AC-УХЛ3-КЭАЗ;109288;;
Выключатель автоматический ВА57Ф35-340010-80А-1000-400AC-УХЛ3-КЭАЗ;109290;;
Выключатель автоматический ВА57Ф35-340010-100А-1250-400AC-УХЛ3-КЭАЗ;109295;;
Выключатель автоматический ВА57Ф35-340010-80А-1250-400AC-УХЛ3-КЭАЗ;109300;;
Выключатель автоматический ВА57Ф35-340010-160А-2000-400AC-УХЛ3-КЭАЗ;109312;;
Выключатель автоматический ВА57Ф35-340010-31,5А-630-400AC-УХЛ3-КЭАЗ;109336;;
Выключатель автоматический ВА57Ф35-341110-160А-2000-400AC-УХЛ3-КЭАЗ;109368;;
Выключатель автоматический ВА57Ф35-341210-250А-2500-400AC-НР230AC/220DC-УХЛ3-КЭАЗ;109412;;
Выключатель автоматический ВА57Ф35-341210-250А-2500-400AC-НР400AC-УХЛ3-КЭАЗ;109448;;
Выключатель автоматический ВА57-35-331170-250А-500-690AC-ПЭ230AC-УХЛ3-КЭАЗ;109607;;
Выключатель автоматический ВА57-39-331210-630А-3200-690AC-НР230AC/220DC-УХЛ3-КЭАЗ;109857;;
Выключатель автоматический ВА57-39-340015-250А-1000-690AC-УХЛ3-КЭАЗ;109887;;
Выключатель автоматический ВА57-39-340015-250А-2500-690AC-УХЛ3-КЭАЗ;109888;;
Выключатель автоматический ВА57-39-340015-320А-3200-690AC-УХЛ3-КЭАЗ;109889;;
Выключатель автоматический ВА57-39-340015-400А-4000-690AC-УХЛ3-КЭАЗ;109890;;
Выключатель автоматический ВА57-39-340015-500А-5000-690AC-УХЛ3-КЭАЗ;109891;;
Выключатель автоматический ВА57-39-340015-630А-5000-690AC-УХЛ3-КЭАЗ;109892;;
Выключатель автоматический ВА57-39-341115-400А-4000-690AC-УХЛ3-КЭАЗ;109913;;
Выключатель автоматический ВА57-39-341115-630А-5000-690AC-УХЛ3-КЭАЗ;109914;;
Выключатель автоматический ВА57-39-341315-320А-3200-690AC-РМН230AC-УХЛ3-КЭАЗ;109941;;
