Наименование;Артикул
Выключатель АК50Б-3МГОМ3, 50Гц, 10А, 12Iн, условие - 01, ТУ16-522.136-78;105174
Выключатель АК50Б-3МГОМ3, 50Гц, 16А, 12Iн, ТУ16-522.136-78;105183
Выключатель АК50Б-3МГОМ3, 50Гц, 16А, 12Iн, условие - 01, ТУ16-522.136-78;105182
Выключатель АК50Б-3МГОМ3, 50Гц, 2А, 12Iн, ТУ16-522.136-78;105190
Выключатель АК50Б-3МГОМ3, 50Гц, 2А, 12Iн, условие - 01, ТУ16-522.136-78;105191
Выключатель АК50Б-3МГОМ3, 50Гц, 20А, 12Iн, ТУ16-522.136-78;105199
Выключатель АК50Б-3МГОМ3, 50Гц, 20А, 12Iн, условие - 01, ТУ16-522.136-78;105198
Выключатель АК50Б-3МГОМ3, 50Гц, 25А, 12Iн, ТУ16-522.136-78;105200
Выключатель АК50Б-3МГОМ3, 50Гц, 25А, 12Iн, условие - 01, ТУ16-522.136-78;105201
Выключатель АК50Б-3МГОМ3, 50Гц, 31,5А, 12Iн, ТУ16-522.136-78;105208
Выключатель АК50Б-3МГОМ3, 50Гц, 31,5А, 12Iн, условие - 01, ТУ16-522.136-78;105209
Выключатель АК50Б-3МГОМ3, 50Гц, 4А, 12Iн, ТУ16-522.136-78;105221
Выключатель АК50Б-3МГОМ3, 50Гц, 4А, 12Iн, условие - 01, ТУ16-522.136-78;105220
Выключатель АК50Б-3МГОМ3, 50Гц, 40А, 12Iн, ТУ16-522.136-78;105228
Выключатель АК50Б-3МГОМ3, 50Гц, 40А, 12Iн, условие - 01, ТУ16-522.136-78;105227
Выключатель АК50Б-3МГОМ3, 50Гц, 5А, 12Iн, ТУ16-522.136-78;105229
Выключатель АК50Б-3МГОМ3, 50Гц, 5А, 12Iн, условие - 01, ТУ16-522.136-78;105230
Выключатель АК50Б-3МГОМ3, 50Гц, 50А, 12Iн, ТУ16-522.136-78;105236
Выключатель АК50Б-3МГОМ3, 50Гц, 50А, 12Iн, условие - 01, ТУ16-522.136-78;105238
Выключатель АК50Б-3МГОМ3, 50Гц, 6,3А, 12Iн, ТУ16-522.136-78;105243
Выключатель АК50Б-3МГОМ3, 50Гц, 6,3А, 12Iн, условие - 01, ТУ16-522.136-78;105244
Выключатель АК50Б-3МГОМ3, 50Гц, 8А, 12Iн, ТУ16-522.136-78;105251
